Bank Code,IFSC
GCCX,UTIB0SGDS01
GCUL,IBKL0115GCU
GCUX,HDFC0CTGCUB
GDCB,GDCB0000001
GDCX,APBL0007001
GDUX,UTIB0SGUCB1
GGCX,IBKL01011GC
GHPX,HDFC0CGPCBL
GKNX,RSCB0033099
GMBX,YESB0GMCB01
GMCX,GSCB0GUMC01
GMUX,IBKL01529GM
GNCX,YESB0GCUB01
GNSX,HDFC0CTGNSB
GODX,HDFC0CGCB02
GOSX,HDFC0CGNSBL
GPCX,IBKL0068GP1
GPOX,SBIN0000DOP
GRAX,IBKL0551GMC
GSBL,YESB0GSCB02
GSBX,YESB0GSB001
GSCB,GSCB0000001
GSSX,SVCB0002001
GTCX,NA
GUBX,YESB0GUCB01
GUCX,HDFC0CGUB02
GUNX,UTIB0SGUB02
GUOX,UTIB0SGCB01
HAMX,ICIC00HDCCB
HANX,RSCB0038099
HCBL,SVCB0001002
HCBX,HCBL0000001
HDCL,ICIC00HDCBL
HDCX,APBL0015022
HDFC,HDFC0999999
HGBX,PUNB0HGB001
HISX,UTIB0HCCB01
HMBX,PUNB0HPGB04
HMNX,IBKL0218HNS
HOCX,UTIB0SHSP01
HOOX,WBSC0HDCB01
HPCX,HDFC0CSPCBK
HPSX,HPSC0000001
HSBC,HSBC0RTGSMI
HSBM,YESB0HSBLM0
HSCX,HARC0000001
HSDX,UTIB0SHDCCB
HSSX,YESB0HSCB01
HUBX,SVCB0033002
HUCB,UTIB0SHUCBH
HUCH,UTIB0SHUCBL
HUCX,HDFC0CHUCBH
HUTX,HUSB0000001
IBKL,IBKL0009998
ICBL,IBKL0115ICB
ICHX,HDFC0CIMB01
ICIC,ICIC0TREA00
ICMX,YESB0ICMB02
IDFB,IDFB0000001
IDIB,IDIB000C080
ILCB,UTIB0SICB25
IMPX,UTIB0SIUCB1
INCX,YESB0ICBL01
INDB,INDB0000098
IOBA,IOBA0009016
IPCX,CBIN0MPDCAO
IPPB,IPOS0000001
IPSX,ICIC00INPRS
ISBX,UTIB0SIPSB1
ISMX,HDFC0CISWAM
ITCX,HDFC0CITC01
ITDX,IBKL0100ITB
IUCB,HDFC0CIUCBL
IUCX,YESB0IUCB01
JACX,HDFC0CJCBLD
JAKA,JAKA0DEALER
JALX,YESB0JLCB01
JAMX,UTIB0SJCB01
JANA,JANA0000001
JANX,HDFC0CTJCBL
JASB,JASB0000001
JASX,HDFC0CJSCBL
JAUX,SVCB0011002
JBHX,CBIN0MPDCAD
JBIX,UTIB0SJSB01
JBMX,CBIN0MPDCBC
JCBX,HDFC0CJBMLG
JCCB,RSCB0022099
JCCX,UTIB0SJAL01
JCDX,GSCB0JMN001
JCHX,CBIN0MPDCAF
JCPX,ICIC00JCBLG
JCUX,KKBK0JCUB01
JDCX,ICIC00JDCBL
JDEX,CBIN0MPDCAJ
JGCX,YESB0JCCB01
JGWX,CBIN0MPDCAM
JHAX,HDFC0CJNSBM
JHSX,CBIN0MPDCAN
JHUX,RSCB0025099
JIBX,CBIN0MPDCAB
JICX,CBIN0MPDCAG
JIDX,CBIN0MPDCAH
JIGX,CBIN0MPDCAL
JIKX,CBIN0MPDCAR
JIMX,CBIN0MPDACT
JINX,UTIB0JIND01
JIOP,JIOP0000001
JIOX,CBIN0MPDCBG
JIRX,CBIN0MPDCAZ
JISX,CBIN0MPDCBJ
JIVX,IBKL0467JSB
JJCX,UTIB0JCCB01
JJHX,CBIN0MPDCAQ
JJSB,JJSB0000001
JKAX,UTIB0SJSA01
JKCX,HDFC0CJCBLN
JKDX,CBIN0MPDCAP
JKEX,RSCB0024099
JKHX,CBIN0MPDCAS
JKMX,UTIB0SJSJ01
JKRX,CBIN0MPDCAY
JKSX,UTIB0SJKCB1
JLCX,RSCB0023012
JLDX,IBKL0530JDC
JLNX,HDFC0CJPCBL
JLSX,CBIN0MPDCBM
JLWX,HDFC0CJNSBL
JMAX,CBIN0MPDCAU
JMBX,CBIN0MPDCAC
JMCX,HDFC0CJMCBL
JMDX,CBIN0MPDCAI
JMHX,HDFC0CJUCBL
JMMX,NA
JMOX,CBIN0MPDCAV
JMPX,HDFC0CTJPCB
JMSX,HDFC0CJMS99
JMYX,UTIB0SJSD01
JNAX,CBIN0MPDCAW
JNDX,GSCB0JNDC01
JNSX,HDFC0CJNSBB
JODX,RSCB0026099
JONX,HDFC0CJNB08
JOWX,HDFC0CJCUBL
JPAX,CBIN0MPDCAX
JPCB,JPCB0000001
JPCX,WBSC0JCCB01
JRAX,CBIN0MPDCBA
JRKX,CBIN0MPDCBL
JRNX,UTIB0SJSN01
JRSX,HDFC0CJALOR
JSAB,IBKL0452JSB
JSAX,IBKL0116JSB
JSBL,JSBL0000001
JSBP,JSBP0000001
JSBX,YESB0JCBL01
JSCX,IBKL0063JCB
JSDX,CBIN0MPDCAK
JSEX,CBIN0MPDCBE
JSFB,JSFB0000001
JSHX,CBIN0MPDCBH
JSKX,UTIB0JSBR01
JSMX,SVCB0043002
JSOX,CBIN0MPDCBF
JSRX,CBIN0MPDCBB
JSTX,CBIN0MPDCBD
JSVX,CBIN0MPDCBI
JSWX,HDFC0CJUCBI
JTIX,CBIN0MPDCBK
JTSX,NA
JUCX,HDFC0CJCCBL
JUSX,ICIC00JUSBL
JVCX,YESB0JIVAN1
KAAX,APBL0011001
KACE,KACE0000001
KACX,GSCB0KTC001
KAGX,IBKL0116KCB
KAIJ,KAIJ0000001
KALX,HDFC0CKTCCB
KAMX,IBKL0478KCB
KANX,KSCB0016001
KARB,KARB0000001
KARX,YESB0KDCC01
KASX,HDFC0CKAMCO
KATX,INDB0KUCB01
KAYX,TNSC0010300
KBCX,IBKL0150KMC
KBHB,KOEX0000001
KBNX,GSCB0UKNSBL
KBSX,HDFC0CKBS01
KCCB,KCCB0RTGS4C
KCCX,TNSC0010200
KCDX,KSCB0015001
KCEX,RSCB0027001
KCOB,KANG0000001
KCUB,YESB0KCUB01
KCUX,IBKL0340KU1
KDBX,APBL0020001
KDIX,YESB0KNB002
KDNX,HDFC0CKNSBZ
KDUX,KSCB0011001
KEJX,ORCB0KJR001
KEMX,IBKL0114KMB
KESX,IBKL0413KSB
KGDX,IBKL01077KD
KHAX,YESB0KHBKGB
